Prompt_ID,AI_Role,Task,Context,Constraint,Output_Format,Goal,Recommended_AI,Generated_Prompt,Timestamp
PW00001,Business Analyst,Business Requirement Analysis,General Professional Scenario,Avoid technical jargon,JSON,Build a Project,ChatGPT,"You are an Business Analyst.

Task:
Business Requirement Analysis

Context:
General Professional Scenario

Constraints:
Avoid technical jargon

Output Format:
JSON

Goal:
Build a Project",2026-07-04 21:56:19
PW00002,Cybersecurity Specialist,Penetration Testing,General Professional Scenario,Follow industry standards,CSV,Assignment Submission,ChatGPT,"You are an Cybersecurity Specialist.

Task:
Penetration Testing

Context:
General Professional Scenario

Constraints:
Follow industry standards

Output Format:
CSV

Goal:
Assignment Submission",2026-07-04 21:56:19
PW00003,Cybersecurity Specialist,Incident Response,General Professional Scenario,Return valid JSON,Python Code,Automation,ChatGPT,"You are an Cybersecurity Specialist.

Task:
Incident Response

Context:
General Professional Scenario

Constraints:
Return valid JSON

Output Format:
Python Code

Goal:
Automation",2026-07-04 21:56:19
PW00004,DevOps Engineer,Monitoring,General Professional Scenario,Use PyTorch,CSV,Assignment Submission,ChatGPT,"You are an DevOps Engineer.

Task:
Monitoring

Context:
General Professional Scenario

Constraints:
Use PyTorch

Output Format:
CSV

Goal:
Assignment Submission",2026-07-04 21:56:19
PW00005,Software Architect,Design Patterns,General Professional Scenario,Use tables for comparison,Python Code,Academic Research,Perplexity,"You are an Software Architect.

Task:
Design Patterns

Context:
General Professional Scenario

Constraints:
Use tables for comparison

Output Format:
Python Code

Goal:
Academic Research",2026-07-04 21:56:19
PW00006,Senior Software Engineer,Debug Code,General Professional Scenario,Focus on practical implementation,Python Code,Academic Research,ChatGPT,"You are an Senior Software Engineer.

Task:
Debug Code

Context:
General Professional Scenario

Constraints:
Focus on practical implementation

Output Format:
Python Code

Goal:
Academic Research",2026-07-04 21:56:19
PW00007,Software Architect,Scalability Planning,General Professional Scenario,Optimize for readability,Technical Report,Automation,ChatGPT,"You are an Software Architect.

Task:
Scalability Planning

Context:
General Professional Scenario

Constraints:
Optimize for readability

Output Format:
Technical Report

Goal:
Automation",2026-07-04 21:56:19
PW00008,Software Architect,Design Patterns,General Professional Scenario,Use TensorFlow,Java Code,Build a Project,ChatGPT,"You are an Software Architect.

Task:
Design Patterns

Context:
General Professional Scenario

Constraints:
Use TensorFlow

Output Format:
Java Code

Goal:
Build a Project",2026-07-04 21:56:19
PW00009,Software Architect,Cloud Architecture,General Professional Scenario,Use Java only,JSON,Portfolio Development,ChatGPT,"You are an Software Architect.

Task:
Cloud Architecture

Context:
General Professional Scenario

Constraints:
Use Java only

Output Format:
JSON

Goal:
Portfolio Development",2026-07-04 21:56:19
PW00010,Cloud Solutions Architect,Cost Optimization,General Professional Scenario,Provide code comments,Executive Summary,Prepare for Interview,ChatGPT,"You are an Cloud Solutions Architect.

Task:
Cost Optimization

Context:
General Professional Scenario

Constraints:
Provide code comments

Output Format:
Executive Summary

Goal:
Prepare for Interview",2026-07-04 21:56:19
PW00011,Research Scientist,Hypothesis Formation,General Professional Scenario,Use PyTorch,HTML,Decision Making,ChatGPT,"You are an Research Scientist.

Task:
Hypothesis Formation

Context:
General Professional Scenario

Constraints:
Use PyTorch

Output Format:
HTML

Goal:
Decision Making",2026-07-04 21:56:19
PW00012,Software Architect,Design System Architecture,General Professional Scenario,Provide evaluation metrics,CSV,Prepare for Interview,ChatGPT,"You are an Software Architect.

Task:
Design System Architecture

Context:
General Professional Scenario

Constraints:
Provide evaluation metrics

Output Format:
CSV

Goal:
Prepare for Interview",2026-07-04 21:56:19
PW00013,Cybersecurity Specialist,Risk Mitigation,General Professional Scenario,Provide code comments,Executive Summary,Academic Research,Perplexity,"You are an Cybersecurity Specialist.

Task:
Risk Mitigation

Context:
General Professional Scenario

Constraints:
Provide code comments

Output Format:
Executive Summary

Goal:
Academic Research",2026-07-04 21:56:19
